Название полицейского подразделения	Адрес полицейского подразделения	Есть ли на сайте МВД имена и звания начальника ОП и других сотрудников ? 	Доступна в сети Интернет ли информация о деятельности ОП?	Есть ли на информационном стенде...  телефон управления собственной безопасности?	...телефоны федеральной и региональной «горячей линии МВД»	...ТЕЛЕФОНЫ, ЭЛЕКТРОННЫЕ И ПОЧТОВЫЕ АДРЕСА аппаратов РЕГИОНАЛЬНЫХ Уполномоченных по правам ЧЕЛОВЕКА?	9а. ...РЕГИОНАЛЬНЫХ Уполномоченных по правам РЕБЕНКА?	8б. ...ФЕДЕРАЛЬНЫХ Уполномоченных по правам ЧЕЛОВЕКА?	9б. ...ФЕДЕРАЛЬНЫХ Уполномоченных по правам РЕБЕНКА?	...телефоны, электронные и почтовые адреса региональной Общественной наблюдательной комиссии по контролю за соблюдением прав человека в местах принудительного содержания (ОНК)?	...телефоны, электронные и почтовые адреса аппарата регионального Общественного совета при ГУ МВД? Общественного совета районного УМВД?	10ж. ...информация о присутствии членов Общественных советов при приёме граждан (график)? 	...телефоны, электронные и почтовые адреса дежурного прокурора районной и региональной прокуратуры?	... контакты дежурной части и адрес районного УМВД?	11а. Есть ли на стенде памятка о порядке подачи заявлений? (обязательность выдачи талона КУСП, сроки рассмотрения заявления, выдержки из нормативных актов)	...информация о том, как обжаловать действия сотрудников полиции?	11г. Есть ли информация о том, что делать посетителю, если не приняли заявление (например, «Если не приняли заявление — звоните 02»)?	11д. Есть ли информация о правах задержанных и обязанностях сотрудников? 	20. ...о датах ближайших отчётов участковых или руководителя подразделения?	14б. Есть ли информация о территории обслуживания подразделения? (район и количество проживающих)
85 отдел полиции	198412, Санкт-Петербург,  г. Ломоносов, ул. Швейцарская , 17	Да	Да	Нет	Да	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Да	Да	Да	Нет	Нет	Да	Нет	Нет
60 отдел полиции	Санкт-Петербург ул кораблестроителей д40-6	Нет	Нет	Нет	Да	Нет	Нет	Нет	Нет	Нет	Да	Да	Да	Да	Нет	Нет	Нет	Нет	Нет	Нет
64 отдел полиции 	198303, Санкт-Петербург, ул. Маршала Жукова, д.30 к. 3	Да	Да	Нет	Да	Да	Да	Нет	Нет	Да	Нет	Да	Да	Да	Да	Нет	Нет	Нет	Нет	Нет
74 отдел полиции	Санкт-Петербург, ул. Доблести, 5	Нет	Нет	Нет	Да	Нет	Нет	Нет	Нет	Нет	Да	Нет	Нет	Да	Нет	Нет	Нет	Нет	Нет	Да
15 Отдел полиции Управления МВД Калининского района	195265СПб, ул. Лужская, д .9, лит. А 	Да	Нет	Нет	Да	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Да	Да	Нет	Нет	Нет	Нет
82 отдел полиции	  198332, Санкт-Петербург, Ленинский пр., 98	Нет	Нет	Да	Да	Нет	Нет	Нет	Нет	Нет	Да	Нет	Нет	Да	Да	Да	Нет	Нет	Нет	Нет
50 отделение полиции	197758, СПб, п. Песочный, ул.Ленинградская, 52-А	Нет	Нет	Нет	Да	Да	Да	Нет	Нет	Да	Да	Нет	Да	Да	Нет	Нет	Да	Нет	Нет	Нет
24 отдел полиции	193315, Санкт-Петербург,пр-т Большевиков проспект, 59 к 3 	Нет	Нет	Да	Да	Да	Да	Да	Да	Нет	Да	Нет	Да	Да	Да	Да	Да	Да	Нет	Нет
70 отдел полиции	193079, Санкт-Петербург, ул. Новосёлов, 4	Да	Нет	Нет	Да	Нет	Нет	Нет	Нет	Да	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Да	Нет	Нет
77 отдел полиции	190020, Санкт-Петербург, наб. Обводного канала 205	Нет	Нет	Нет	Да	Нет	Нет	Нет	Нет	Нет	Да	Да	Да	Нет	Нет	Нет	Нет	Нет	Нет	Нет
