Название полицейского подразделения	Адрес полицейского подразделения	1в. Есть ли табличка на входе?	2а. Есть ли на входе в подразделение пандус, который по своим параметрам (угол наклона, ширина, расположение по отношению ко входной двери) позволяет посетителям с ограниченными возможностями передвижения войти внутрь?	2б. Есть ли на входе порог/дверь, котрые по своим параметрам делают ОП недоступным для посетителей с ограниченными возможностями передвижения?	2в. Есть ли звонок/домофон на входе? 	2г. Если да, находится ли он на приемлемом уровне для посетителей с ограниченными возможностями передвижения?	3. Доступно ли подразделение для посетителей с ограниченными возможностями по зрению? (дублируются ли надписи шрифтом Брайля)	4. Доступно ли подразделение для посетителей с ограниченными возможностями по слуху? (дежурные сотрудники изъясняются на языке жестов, наличие бегущей строки)	5а. Есть ли перед входом в подразделение КПП?	Есть ли возможность оставить автомобиль у входа в ОП?	32. Доступны ли туалеты в отделении для посетителей?	8б. Если да, доступны ли туалеты для посетителей с ограниченными возможностями перемещения? (отсутствие порогов, достаточная ширина двери, наличие перил в туалете)
85 отдел полиции	198412, Санкт-Петербург,  г. Ломоносов, ул. Швейцарская , 17	Да	Нет	Нет		Да	Нет	Нет	Да	Нет	Да	Нет
60 отдел полиции	Санкт-Петербург ул кораблестроителей д40-6	Да	Да	Да		Да	Нет	Нет	Нет	Нет	Да	Нет
64 отдел полиции 	198303, Санкт-Петербург, ул. Маршала Жукова, д.30 к. 3	Да	Да	Нет		Да	Нет	Нет	Нет	Нет	Нет	Нет
74 отдел полиции	Санкт-Петербург, ул. Доблести, 5	Да	Нет	Да		Нет	Нет	Нет	Нет	Да	Да	Да
15 Отдел полиции Управления МВД Калининского района	195265СПб, ул. Лужская, д .9, лит. А 	Да	Нет	Нет		Нет	Нет	Нет	Нет	Да	Да	Нет
82 отдел полиции	  198332, Санкт-Петербург, Ленинский пр., 98	Да	Нет	Да		Нет	Нет	Нет	Нет	Да	Нет	Нет
50 отделение полиции	197758, СПб, п. Песочный, ул.Ленинградская, 52-А	Да	Нет	Да		Нет	Нет	Нет	Нет	Да	Нет	Нет
24 отдел полиции	193315, Санкт-Петербург,пр-т Большевиков проспект, 59 к 3 	Да	Нет	Да		Да	Нет	Нет	Нет	Да	Да	Нет
70 отдел полиции	193079, Санкт-Петербург, ул. Новосёлов, 4	Да	Нет	Да		Нет	Нет	Нет	Нет	Нет	Да	Нет
77 отдел полиции	190020, Санкт-Петербург, наб. Обводного канала 205	Да	Нет	Нет		Нет	Нет	Нет	Нет	Нет	Да	Нет
