№	Название подразделения	Адрес	Номера отделов с составе УМВД	E-mail	Руководитель	Телефон приёмной руководителя 	Телефон дежурной части	
	ГУ МВД по СПб и ЛО							
1	УМВД России по Адмиралтейскому району СПб	190005, г.Санкт-Петербург, Советский пер., д.9	1,2,38,77 отделы полиции	SPB_ODiR_664@mvd.ru	Петров Сергей Викторович 	т.(812)573-01-28	т.(812)573-01-20, 316-02-02	
2	УМВД России по Василеостровскому району СПб	199226, г.Санкт-Петербург, Морская наб., д.15-Г	16,30,37,60 отделы полиции	SPB_ODiR_665@mvd.ru	Богачук Сергей Алексеевич	т.(812)356-96-71	т.(812)356-96-67	
3	УМВД России по Выборгскому району СПб	194044, г.Санкт-Петербург, Лесной пр., д.20, к.9	19,20,36,49,57,58,59 отделы полиции	SPB_ODiR_666@mvd.ru, vyborg78@mvd.ru	Автомонов Сергей Викторович	т.(812)573-10-14	т.(812)542-02-02	
4	УМВД России по Калининскому району СПб	195197, г.Санкт-Петербург, ул. Минеральная, д.3	3,6,15,17,21 отделы полиции	SPB_ODiR_667@mvd.ru	Лукашов Александр Викторович	т.(812)540-41-29	т.(812)540-02-02, 573-06-60	
5	УМВД России по Кировскому району СПб	198097, г.Санкт-Петербург, пр. Стачек, д.18	8,31,64 отделы полиции	SPB_ODiR_668@mvd.ru	Оганов Артур Олегович	т.(812)573-13-11	т.(812)573-13-10, 252-02-02	
6	ОМВД России по Колпинскому району СПб	196655, г.Колпино, ул. Труда, д.6	39,55,80 отделы полиции	SPB_ODiR_669@mvd.ru	Климовский Андрей Борисович	т.(812)573-05-32	т.(812)461-02-02, 573-05-30	
7	УМВД России по Красногвардейскому району СПб	195176, г.Санкт-Петербург, ул. Краснодонская, д.14	13,22,26,52,66 отделы полиции	SPB_ODiR_670@mvd.ru	Куров Виктор Алексеевич	т.(812)224-09-81, ф.224-19-21	т.(812)573-15-30, 224-02-02	
8	УМВД России по Красносельскому району СПб	198205, г.Санкт-Петербург, ул. Авангардная, д.35	9,42,54,74,82,84 отделы полиции	SPB_ODiR_671@mvd.ru	Бутылкин Дмитрий Анатольевич	т.(812)573-54-54	т.(812)573-53-60	
9	ОМВД России по Кронштадтскому району СПб	197760, г. Кронштадт, пр. Ленина, д.20	-	SPB_ODiR_672@mvd.ru	Сучков Николай Петрович	т.(812)311-37-09	т.(812)311-02-02	
10	ОМВД России по Курортному району СПб	197701, г.Сестрорецк, ул. Володарского, д.7, к.9	50,81 отделы полиции	SPB_ODiR_673@mvd.ru	Чичин Станислав Антонович	т.(812)573-17-82	т.(812)437-02-02	
11	УМВД России по Московскому району СПб	196084, г.Санкт-Петербург, Московский пр., д.95	29,33,51 отделы полиции	SPB_ODiR_674@mvd.ru	Травников Александр Владимирович	т.(812)388-13-32	т.(812)573-46-50	
12	УМВД России по Невскому району СПб	193148, г.Санкт-Петербург, ул. Грибакиных, д.5	10,23,24,32,45,70,75 отделы полиции	SPB_ODiR_675@mvd.ru	Филиппова Светлана Юрьевна	т.(812)573-56-47	т.(812)573-57-15	
13	УМВД России по Петроградскому району СПб	197101, г.Санкт-Петербург, ул. Большая Монетная, д.20 	18,43,71 отделы полиции	SPB_ODiR_676@mvd.ru	Черняк Михаил Николаевич	т.(812)573-44-75	т.(812)233-02-02, 232-53-74	
14	ОМВД России по Петродворцовому району СПб	198516, г. Петергоф, ул. Первого Мая, д.3	46,85 отделы полиции	SPB_ODiR_677@mvd.ru	Захарян Роман Родионович	т.(812)573-52-71	т.(812)573-52-50	
15	УМВД России по Приморскому району СПб	197327, г.Санкт-Петербург, ул. Ильюшина, д.18-А	25,34,35,44,53,86 отделы полиции	SPB_ODiR_678@mvd.ru	Шлапак Владимир Аркадьевич	т.(812)573-59-00	т.(812)573-59-02	
16	ОМВД России по Пушкинскому району СПб	196600, г. Пушкин, ул. Пушкинская, д.36	131 территориальный пункт полиции	SPB_ODiR_679@mvd.ru	Доценко Игорь Анатольевич	т.(812)573-19-48	т.(812)573-18-90, 470-02-02	
17	УМВД России по Фрунзенскому району СПб	192007, г.Санкт-Петербург, ул. Расстанная, д.15	5,7,12,14,27 отделы полиции	SPB_ODiR_680@mvd.ru	Литвинов Андрей Александрович	т.(812)573-62-18	т.(812)766-02-02	
