,,1,2,3,4,5,6,7,8,9,10
название параметра,ID,Отсутствует ли звонок/домофон на входе? ,Отсутствует ли КПП перед входом?,Есть ли возможность оставить автомобиль в 50 метрах от входа?,Доступны ли туалеты в отделении для посетителей?,"Есть ли на входе в подразделение пандус, который по своим параметрам позволяет посетителям с ограниченными возможностями передвижения войти внутрь?","Отсутствует ли порог/дверь, которые по своим параметрам делают ОП недоступным для посетителей с ограниченными возможностями передвижения?","Доступны ли туалеты для посетителей с ограниченными возможностями передвижения? (отсутствие порогов, достаточная ширина двери, наличие перил в туалете)",Находится ли звонок на приемлемом уровне для посетителей с ограниченными возможностями передвижения?,Доступно ли подразделение для посетителей с ограниченными возможностями по зрению? ,Доступно ли подразделение для посетителей с ограниченными возможностями по слуху? 
вес,,1,2,1,2,2,2,2,2,2,2
общий вес группы,18,1,2,1,2,12,,,,,
группа,,,,,,Доступность для лиц с ограниченными возможностями,,,,,
85 отдел полиции,85,,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет
60 отдел полиции,60,,Да,Нет,Да,Да,Да,Нет,Да,Нет,Нет
64 отдел полиции ,64,,Да,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет
74 отдел полиции,74,,Да,Да,Да,Нет,Да,Да,Нет,Нет,Нет
15 отдел полиции,15,,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет
82 отдел полиции,82,,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет
50 отделение полиции,50,,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет
24 отдел полиции,24,,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет
70 отдел полиции,70,,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет
77 отдел полиции,77,,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
25 отдел полиции,25,,Да,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет
34 отдел полиции,34,,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Нет
53 отдел полиции,53,,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет
32 отдел полиции,32,,Да,Нет,Да,Нет,Да,Нет,Да,Нет,Нет
46 отделение полиции,46,,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет
58 отдел полиции,58,,Да,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет
81 отделение полиции,81,,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
36 отдел полиции,36,,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет
21 отдел полиции,21,,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Нет
Дежурная часть ОМВД Кронштадтского района,ДКР,,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Нет
49 отделение полиции,49,,Да,Нет,Да,Да,Нет,Нет,Да,Нет,Нет
54 отдел полиции,54,,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Нет
42 отдел полиции,42,,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Нет
51 отдел полиции,51,,Да,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
17 отдел полиции,17,,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет
28 отдел полиции,28,Нет,Да,Нет,Да,Нет пандуса,Да,Нет,Нет,Нет,Нет
66 отдел полиции,66,Нет,Да,Да,Да,Нет пандуса,Нет,Нет,Нет,Нет,Нет
1 отдел полиции,1,Нет,Да,Да,Нет,Нет пандуса,Да,Нет,Нет,Нет,Нет
78 отдел полиции,78,Нет,Да,Нет,Да,Нет пандуса,Да,Нет,Нет,Нет,Нет
76 отдел полиции,76,Нет,Да,Нет,Нет,Нет пандуса,Да,Нет,Нет,Нет,Нет
16 отдел полиции,16,Нет,Да,Да,Нет,Нет пандуса,Нет,Нет,Да,Нет,Нет
30 отдел полиции,30,Нет,Да,Да,Нет,Нет пандуса,Нет,Нет,Да,Нет,Нет
13 отдел полиции,13,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Нет
52 отдел полиции,52,Нет,Да,Да,Да,Нет пандуса,Да,Нет,Нет,Нет,Нет
71 отдел полиции,71,Нет,Да,Да,Нет,Да,Да,Нет,Нет,Нет,Нет
27 отдел полиции,27,Нет,Да,Да,Да,Нет пандуса,Да,Нет,Нет,Нет,Нет
18 отдел полиции,18,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Нет
14 отдел полиции,14,Нет,Да,Да,Нет,Нет пандуса,Да,Нет,Нет,Нет,Нет
38 отдел полиции,38,Нет,Да,Да,Нет,Нет пандуса,Да,Нет,Нет,Нет,Нет
