,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
запись перед каждым из нижеследующих параметров,ID,Есть ли на сайте МВД ...,,Есть ли на информационном стенде...,,,Есть ли на информационном стенде телефоны...,,"Есть ли на информационном стенде телефоны, электронные и почтовые адреса...",,,,,,,Есть ли на информационном стенде...,Есть ли на информационном стенде информация...,,,
Параметр,,...имена и звания начальника ОП и других сотрудников ? ,...ли информация о деятельности ОП?, ...информация о датах ближайших отчётов участковых и/или руководителя подразделения?,...информация о территории обслуживания подразделения? (границы территории и характеристика),... контакты дежурной части и адрес районного УМВД?,...управления собственной безопасности (УСБ)?,...федеральной и региональной «горячей линии МВД»?,...РЕГИОНАЛЬНОГО Уполномоченного по правам ЧЕЛОВЕКА?,...РЕГИОНАЛЬНОГО Уполномоченного по правам РЕБЕНКА?, ...ФЕДЕРАЛЬНОГО Уполномоченного по правам ЧЕЛОВЕКА?,...ФЕДЕРАЛЬНОГО Уполномоченного по правам РЕБЕНКА?,...Общественной наблюдательной комиссии по контролю за соблюдением прав человека в местах принудительного содержания (ОНК)?,...дежурного прокурора районной и региональной прокуратуры?,...регионального Общественного совета при ГУ МВД и УМВД?, ...информация о присутствии членов Общественных советов при приёме граждан (график)? ,"...о порядке подачи заявлений? (обязательность выдачи талона КУСП, сроки рассмотрения заявления, выдержки из нормативных актов)","...о том, что делать посетителю, если не приняли заявление (например, «Если не приняли заявление — звоните 02»)?","...о том, как обжаловать действия сотрудников полиции?",...о правах задержанных и обязанностях сотрудников? 
вес,,2,1,1,1,2,2,2,2,2,1,1,2,2,1,1,3,3,3,3
общий вес группы,25,7,,,,,16,,,,,,,,,,12,,,
группа,,информация о подразделении,,,,,информация и контакты общественных и правозащитных институтов и надзорных органов,,,,,,,,,,правовая информация для заявителей и задержанных,,,
85 отдел полиции,85,Да,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Да
60 отдел полиции,60,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет
64 отдел полиции ,64,Да,Да,Нет,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,Да,Нет,Да,Да,Да,Нет,Нет
74 отдел полиции,74,Нет,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет
15 отдел полиции,15,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Нет
