Название подразделения,ID,Адрес,Номера отделов в составе УМВД,входят ОП с ID,E-mail,Адрес сайта,"Должность, звание",Руководитель,Телефон приёмной руководителя ,Телефон дежурной части,Подать заявление через электронную приёмную,Фото здания,Прокуратура: адрес,Прокурор,Тел.,Подать заявление через электронную приёмную (прокуратура),Контакты Общественного Совета при ГУ МВД,Подать заявление через электронную приёмную,Контакты подразделения собственной безопасности,Руководитель подразделения собственной безопасности,Отчёты о работе руководителя УМВД,Отчёты о работе участковых уполномоченных полиции,Комментарий,Скрытые комментарии,Иконка
Главное управление МВД России по Санкт-Петербургу и Ленинградской области,ГУ,"191015, Санкт-Петербург, Суворовский пр., 50/52",-,-,-,https://78.мвд.рф,"Начальник ГУ МВД России по Санкт-Петербургу и Ленинградской области, генерал-лейтенант полиции ",Умнов Сергей Павлович,(812) 573-34-81,(812) 573-24-20,https://78.мвд.рф/request_main,GU_ph1.jpg,"190000, Санкт-Петербург, улица Почтамтская, дом 2/9","Прокурор Санкт-Петербурга, Государственный советник юстиции 2 класса Литвиненко Сергей Иванович",дежурный прокурор по Санкт-Петербургу (812) 315-48-53,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: 8(921)963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,-,-,-,,headquarters.png
УМВД России по Адмиралтейскому району Санкт-Петербурга,У1,"190005, Санкт-Петербург, Советский пер., д.9","1,2,38,77 отделы полиции","1, 2, 38, 77",SPB_ODiR_664@mvd.ru,https://адмирал.78.мвд.рф/,"Начальник, полковник полиции","Петров Сергей Викторович
",(812) 573-01-28,"(812) 573-01-20, (812) 316-02-02",https://адмирал.78.мвд.рф/для-граждан/прием-обращений,U01_ph1.jpg,"Санкт-Петербург, ул. Большая Подъяческая, дом 19",Прокурор Адмиралтейского района старший советник юстиции Дуркин Александр Анатольевич,(812) 310-18-73,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,"https://адмирал.78.мвд.рф/деятельность/отчет-должностных-лиц
",https://78.мвд.рф/slujba/otch/uup/отчеты-ууп.2016,-,,headquarters.png
УМВД России по Василеостровскому району Санкт-Петербурга,У2,"199226, Санкт-Петербург, Морская наб., д.15","16,30,37,60 отделы полиции","16, 30, 37, 60",SPB_ODiR_665@mvd.ru,https://василеостровский.78.мвд.рф,"Начальник, полковник полиции",Богачук Сергей Алексеевич,(812) 356-96-71,(812) 356-96-67,https://василеостровский.78.мвд.рф/для-граждан/обращения,U02_ph1.jpg,"Санкт-Петербург, В.О., 6-ая линия, дом 7",Прокурор Василеостровского района старший советник юстиции   Богатырев Рустам Магометович,(812) 328-11-18,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,-,-,-,,headquarters.png
УМВД России по Выборгскому району Санкт-Петербурга,У3,"194044, Санкт-Петербург, Лесной пр., д.20, к.9","19,20,36,49,57,58,59 отделы полиции","19, 20, 36, 49, 57, 58, 59","SPB_ODiR_666@mvd.ru, vyborg78@mvd.ru",https://выборгский.78.мвд.рф,"Начальник, полковник полиции",Автомонов Сергей Викторович,(812) 573-10-14,(812) 542-02-02,https://выборгский.78.мвд.рф/для-граждан/обращения,NO_PHOTO.jpg,"Санкт-Петербург, В.О., ул. Смолячкова, дом 14/3 ","
Прокурор Выборгского района старший советник юстиции Бурдов Дмитрий Геннадьевич",(812) 542-51-42,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,https://выборгский.78.мвд.рф/деятельность/отчеты/отчеты-начальника;  https://78.мвд.рф/slujba/otch/Otcheti_rukovodstva/otch-2015,"https://78.мвд.рф/slujba/otch/uup/отчеты-ууп.2016;
https://выборгский.78.мвд.рф/деятельность/отчеты/ууп",-,,headquarters.png
УМВД России по Калининскому району Санкт-Петербурга,У4,"195197, Санкт-Петербург, ул. Минеральная, д.3","3,6,15,17,21 отделы полиции","3, 6, 15, 17, 21",SPB_ODiR_667@mvd.ru,https://калин.78.мвд.рф,"Начальник, полковник полиции",Лукашов Александр Викторович,(812) 540-41-29,"(812) 540-02-02, (812) 573-06-60",https://калин.78.мвд.рф/obrash,U04_ph1.jpg,"Санкт-Петербург, ул.Комсомола, дом 43 ",Прокурор Калининского района старший советник юстиции Зеленцов Сергей Геннадьевич,(812) 294-51-03,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,https://калин.78.мвд.рф/slujba/отчеты/отчеты-руководства,https://калин.78.мвд.рф/slujba/отчеты/отчеты-ууп,-,,headquarters.png
УМВД России по Кировскому району Санкт-Петербурга,У5,"198097, Санкт-Петербург, пр. Стачек, д.18","8,31,64 отделы полиции","8, 31, 64",SPB_ODiR_668@mvd.ru,https://киров.78.мвд.рф,"Начальник, полковник полиции",Оганов Артур Олегович,(812) 573-13-11,"(812) 573-13-10, (812) 252-02-02",https://киров.78.мвд.рф/obrash,U05_ph1.jpg,"Санкт-Петербург, ул.Новоовсянниковская, дом 19А",Прокурор Кировского района советник юстиции Данилов Павел Александрович,(812) 252-23-11,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,https://киров.78.мвд.рф/slujba/otheti/Otcheti_uchastkovih_upolnomochennih_poli/item/10063325/,https://киров.78.мвд.рф/slujba/otheti/Informacionno_analiticheskie_spravki_uch/item/9178953/,-,,headquarters.png
ОМВД России по Колпинскому району Санкт-Петербурга,У6,"196655, Санкт-Петербург, г. Колпино, ул. Труда, д.6","39,55,80 отделы полиции","39, 55, 80",SPB_ODiR_669@mvd.ru,https://колпино.78.мвд.рф,"Начальник, полковник полиции",Климовский Андрей Борисович,(812) 573-05-32,"461-02-02, 573-05-30",https://колпино.78.мвд.рф/для-граждан/прием,U06_ph1.jpg,"Санкт-Петербург, Колпино, ул. Культуры, дом 8",Прокурор Колпинского района советник юстиции Чирков Роман Алексеевич,(812) 461-00-49,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,https://78.мвд.рф/slujba/otch/Otcheti_rukovodstva/otch-2015,https://колпино.78.мвд.рф/document/10074267,-,,headquarters.png
УМВД России по Красногвардейскому району Санкт-Петербурга,У7,"195176, Санкт-Петербург, ул. Краснодонская, д.14","13,22,26,52,66 отделы полиции","13, 22, 26, 52, 66",SPB_ODiR_670@mvd.ru,https://красногвардейский.78.мвд.рф,"Начальник, полковник полиции",Куров Виктор Алексеевич,(812) 224-09-81,"(812) 573-15-30, (812) 224-02-02",https://красногвардейский.78.мвд.рф/для-граждан/прием-обращений,U07_ph1.jpg,"Санкт-Петербург, Среднеохтинский пр., дом 52/11",Прокурор Красногвардейского района старший советник юстиции Ефанов Андрей Александрович,(812) 227-84-16,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,https://красногвардейский.78.мвд.рф/document/9586161,https://красногвардейский.78.мвд.рф/document/8344885,-,,headquarters.png
УМВД России по Красносельскому району Санкт-Петербурга,У8,"198205, Санкт-Петербург, ул. Авангардная, д.35","9,42,54,74,82,84 отделы полиции","9, 42, 54, 74, 82, 84",SPB_ODiR_671@mvd.ru,https://красносельский.78.мвд.рф,"Начальник, полковник полиции",Бутылкин Дмитрий Анатольевич,(812) 573-54-54,(812) 573-53-60,https://78.мвд.рф/request_main,U08_ph1.jpg,"Санкт-Петербург, ул.Пограничника Гарькавого, дом 48, к.4, лит",Прокурор Красносельского района старший советник юстиции Захаров Дмитрий Рустамович,(812) 365-97-00,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,https://78.мвд.рф/slujba/otch/Otcheti_rukovodstva/otch-2015                                              ,https://78.мвд.рф/slujba/otch/uup/отчеты-ууп.2016,-,,headquarters.png
ОМВД России по Кронштадтскому району Санкт-Петербурга,У9,"197760, Санкт-Петербург, г. Кронштадт, пр. Ленина, д.20",Дежурная часть ОМВД России по Кронштадтскому району,ДКР,SPB_ODiR_672@mvd.ru,https://кронштадт.78.мвд.рф,"Начальник, подполковник полиции",Сучков Николай Петрович,(812) 311-37-09,(812) 311-02-02,https://78.мвд.рф/request_main,U09_ph1.jpg,"Санкт-Петербург, Кронштадт, ул. Петровская, д.8, корпус 2", Прокурор Кронштадтского района советник юстиции Юрьев Константин Владимирович,(812) 311-58-89,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,-,-,-,,headquarters.png
