название параметра,ID,Есть возможность припарковать автомобиль в 50 м. от входа,Отсутствует КПП перед входом,"На входе в подразделение есть пандус, который по своим параметрам позволяет посетителям с ограниченными возможностями передвижения попасть внутрь",Входная дверь открывается свободно: отсутствует звонок/домофон на входе,Звонок находится на приемлемом для посетителей с ограниченными возможностями передвижения уровне,"Вход доступен для посетителей с ограниченными возможностями передвижения (отсутствует высокий порог, тяжелая дверь и другие препятствия)",Подразделение доступно для посетителей с ограниченными возможностями по зрению,Подразделение доступно для посетителей с ограниченными возможностями по слуху,Туалеты доступны для посетителей,"Туалеты доступны для посетителей с ограниченными возможностями передвижения (отсутствуют пороги, ширина двери достаточная, есть перила)"
баллы,19,2,2,2,1,2,2,2,2,2,2
85 отдел полиции,85,Нет,Нет,Нет,-,Да,Нет,Нет,Нет,Да,Нет
60 отдел полиции,60,Нет,Да,Да,-,Да,Да,Нет,Нет,Да,Нет
64 отдел полиции ,64,Нет,Да,Да,-,Да,Нет,Нет,Нет,Нет,Нет
74 отдел полиции,74,Да,Да,Нет,-,Нет,Да,Нет,Нет,Да,Да
15 отдел полиции,15,Да,Да,Нет,-,Нет,Нет,Нет,Нет,Да,Нет
82 отдел полиции,82,Да,Да,Нет,-,Нет,Да,Нет,Нет,Нет,Нет
50 отделение полиции,50,Да,Да,Нет,-,Нет,Да,Нет,Нет,Нет,Нет
24 отдел полиции,24,Да,Да,Нет,-,Да,Да,Нет,Нет,Да,Нет
70 отдел полиции,70,Нет,Да,Нет,-,Нет,Да,Нет,Нет,Да,Нет
77 отдел полиции,77,Нет,Да,Нет,-,Нет,Нет,Нет,Нет,Да,Нет
25 отдел полиции,25,Да,Да,Нет,-,Да,Нет,Нет,Нет,Нет,Нет
34 отдел полиции,34,Да,Да,Нет,-,Нет,Да,Нет,Нет,Да,Нет
53 отдел полиции,53,Да,Да,Нет,-,Да,Да,Нет,Нет,Да,Нет
32 отдел полиции,32,Нет,Да,Нет,-,Да,Да,Нет,Нет,Да,Нет
46 отделение полиции,46,Нет,Нет,Нет,-,Нет,Да,Нет,Нет,Да,Нет
58 отдел полиции,58,Нет,Да,Нет,-,Да,Нет,Нет,Нет,Да,Нет
81 отделение полиции,81,Нет,Да,Нет,-,Нет,Нет,Нет,Нет,Да,Нет
36 отдел полиции,36,Нет,Да,Нет,-,Нет,Да,Нет,Нет,Да,Нет
21 отдел полиции,21,Да,Нет,Нет,-,Да,Да,Нет,Нет,Да,Нет
Дежурная часть ОМВД Кронштадтского района,ДКР,Да,Нет,Нет,-,Да,Да,Нет,Нет,Да,Нет
49 отделение полиции,49,Нет,Да,Да,-,Да,Нет,Нет,Нет,Да,Нет
54 отдел полиции,54,Да,Да,Нет,-,Нет,Да,Нет,Нет,Да,Нет
42 отдел полиции,42,Да,Да,Нет,-,Нет,Да,Нет,Нет,Да,Нет
51 отдел полиции,51,Нет,Да,Нет,-,Нет,Да,Нет,Нет,Нет,Нет
17 отдел полиции,17,Да,Да,Да,-,Да,Да,Нет,Нет,Да,Нет
28 отдел полиции,28,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет
66 отдел полиции,66,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет
1 отдел полиции,1,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
78 отдел полиции,78,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет
76 отдел полиции,76,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
16 отдел полиции,16,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет
30 отдел полиции,30,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет
13 отдел полиции,13,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Нет
52 отдел полиции,52,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет
71 отдел полиции,71,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет
27 отдел полиции,27,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет
18 отдел полиции,18,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Нет
14 отдел полиции,14,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
38 отдел полиции,38,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
19 отдел полиции,19,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет
3 отдел полиции,3,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
59 отдел,59,Нет,Да,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет
57 отдел полиции,57,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
29 отдел полиции,29,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет
33 отдел полиции,33,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет
55 отдел полиции,55,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
20 отдел полиции,20,Да,Да,Нет,Да,-,Нет,Нет,Нет,Нет,Нет
31 отдел полиции,31,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет
8 отдел полиции,8,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет
23 отдел полиции,23,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет
5 отдел полиции,5,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет
75 отдел полиции,75,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет
45 отделение полиции,45,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет
9 отдел полиции,9,Да,Да,Нет,Нет,Да,Да,Нет,Да,Да,Нет
10 отдел полиции,10,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет
39 отдел полиции,39,Да,Да,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет
7 отдел полиции,7,Да,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Нет
43 отдел полиции,43,Да,Да,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет
86 отдел полиции,86,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет
22 отдел полиции ,22,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет
6 отдел полиции,6,Да,Да,-,Нет,Нет,Нет,Нет,Нет,Да,Нет
Дежурная часть ОМВД Курортного района СПб,ДКР,Да,Да,-,Да,Да,Да,Нет,Нет,Да,Нет
2 отдел полиции,2,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет
84 отдел полиции,84,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет
44 отдел полиции,44,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет
37 отдел полиции,37,Да,Нет,Нет,Нет,Да,Да,Нет,Нет,Да,Нет
Витебский линейный отдел,УТВит,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
Линейный отдел полиции на станции метро СПБ Ладожский ,УТЛад,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет
Балтийский линейный отдел Министерства внутренних дел на транспорте,УТБ,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет
Линейный отдел в аэропорту Пулково,ЛТП,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,Нет
Санкт-Петербург-Финляндский линейный отдел МВД России на транспорте,УТФ,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет
