Параметр,ID,На сайте ГУ МВД / УМВД есть имя и звание начальника подразделения,"На сайте ГУ МВД / УМВД есть информация о деятельности подразделения в отчетах УМВД или УУП за последние 0,5/1 год",На информационном стенде есть информация о территории обслуживания подразделения и её границах,На информационном стенде есть контакты дежурной части районного УМВД,На информационном стенде есть телефоны подразделения собственной безопасности ,На информационном стенде есть телефоны федеральной и региональной «горячей линии МВД»,"На информационном стенде есть телефоны, электронные и почтовые адреса РЕГИОНАЛЬНОГО Уполномоченного по правам ЧЕЛОВЕКА","На информационном стенде есть телефоны, электронные и почтовые адреса РЕГИОНАЛЬНОГО Уполномоченного по правам РЕБЕНКА","На информационном стенде есть телефоны, электронные и почтовые адреса ФЕДЕРАЛЬНОГО Уполномоченного по правам ЧЕЛОВЕКА","На информационном стенде есть телефоны, электронные и почтовые адреса ФЕДЕРАЛЬНОГО Уполномоченного по правам РЕБЕНКА","На информационном стенде есть телефоны, электронные и почтовые адреса Общественной наблюдательной комиссии по контролю за соблюдением прав человека в местах принудительного содержания (ОНК)","На информационном стенде есть телефоны, электронные и почтовые адреса дежурного прокурора районной и региональной прокуратуры","На информационном стенде есть телефоны, электронные и почтовые адреса регионального Общественного совета при ГУ МВД и УМВД",На информационном стенде есть информация о присутствии членов Общественных советов при приёме граждан (график встреч),"На информационном стенде есть информация о порядке подачи заявлений (обязательность выдачи талона КУСП, сроки рассмотрения заявления, выдержки из нормативных актов)","На информационном стенде есть информация о том, что делать посетителю, если не приняли заявление","На информационном стенде есть информация о том, как обжаловать действия сотрудников полиции",На информационном стенде есть информация о правах задержанных
баллы,46,2,2,2,2,2,2,2,2,2,2,2,2,1,1,5,5,5,5
Воронежский линейный отдел полиции на воздушном транспорте,ЛТВ,Нет,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Да
Отдел полиции № 4 УМВД России по городу Воронежу (Северный район),4,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Да,Да
Отдел полиции № 2 УМВД России по городу Воронежу (Коминтерновский район),2,Нет,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Нет
Отдел полиции № 5 УМВД России по городу Воронежу (Советский район),5,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
Дежурная часть УМВД России по городу Воронежу,ДВ,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Да,Да
Отдел полиции № 6 УМВД России по городу Воронежу (Центральный район),6,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
Дежурная часть Юго-Восточного линейного управления МВД России на транспорте,ДТВ,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Да
1 отдел полиции,1,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Да
3 отдел полиции,3,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет,Нет
7 отдел полиции,7,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
