Район,Подразделение,Кому подчиняется,ID,Адрес,Тлф1,Тлф2,Тлф3,"Должность, звание",ФИО,Тел. начальника,График приема,Дата последней инспекции,Подать заявление через электронную приёмную,Горячая линия МВД,Новости,Фото здания,Отчёты о работе руководителя подразделения,Комментарий,Скрытые комментарии,Цифра,Иконка
Ленинский,дежурная часть УМВД России по городу Воронежу,УМВД России по городу Воронежу,ДВ,"394006, Воронеж, ул. Краснознаменная,16",(473) 269-62-23,(473) 271-44-02,(473) 271-28-66,Начальник дежурной части УМВД России по Воронежу,Козлов Дмитрий Анатольевич,(473) 271-28-66,круглосуточно,21.06.2017,https://36.мвд.рф/folder/355618,(473) 251-12-50,,NO_PHOTO.jpg,,отчёт о работе за 2016 год не опубликован,,,police_station.png
Железнодорожный,1 отдел полиции,УМВД России по городу Воронежу,1,"394010, Воронеж, ул. Богдана Хмельницкого, 60а",(473) 222-80-62,(473) 222-80-83,,Подполковник полиции,Пустовалов Сергей Васильевич,,круглосуточно,21.06.2017,https://36.мвд.рф/folder/355618,(473) 251-12-50,"1) В Железнодорожном районе Воронежа полицейские задержали подозреваемого в открытом хищении продуктов питания:
https://36.мвд.рф/news/item/10256728/ ;
2) В отделе полиции №1 умер мужчина - март 2016:
https://novostivoronezha.ru/2016/03/30/48588 ;
В отделе полиции Воронежа внезапно умер мужчина - сентябрь 2014:
https://novostivoronezha.ru/2014/09/25/6585 ;",ОП №1.jpg,,отчёт о работе за 2016 год не опубликован,,,police_station.png
Коминтерновский,2 отдел полиции,УМВД России по городу Воронежу,2,"394026, Воронеж, Московский пр., 13",(473) 221-02-90,(473) 246-13-07,(473) 221-07-97,Полковник полиции,Черновых Сергей Николаевич,,пн 15:00 - 19:00,21.06.2017,https://36.мвд.рф/folder/355618,(473) 251-12-50,"1) В Коминтерновском районе Воронежа полицейские задержали подозреваемого в ограблении местного жителя:
https://36.мвд.рф/news/item/10286409/ ;
2) Полицейские раскрыли мошенничество, совершенное под предлогом осуществления ремонтных работ:
https://36.мвд.рф/news/item/10278970/ ;
3) Полицейскими отдела №2 задержан подозреваемый в хищении имущества из автомобилей:
https://36.мвд.рф/news/item/10265385/ ;
4) Полицейскими из Коминтерновского района в течение нескольких часов задержан подозреваемый в вооруженном нападении:
https://36.мвд.рф/news/item/10250715/",ОП №2.jpg,,отчёт о работе за 2016 год не опубликован,,,police_station.png
Левобережный,3 отдел полиции,УМВД России по городу Воронежу,3,"394004, Воронеж, ул. Ленинградская, 31Б","(473) 249-90-75
",,,Подполковник полиции,Костин Константин Иванович,,,21.06.2017,https://36.мвд.рф/folder/355618,(473) 251-12-50,"1) Сотрудники ОП №3 УМВД России по г.Воронежу устанавливают обстоятельства кражи автомобиля:
https://36.мвд.рф/news/item/10283306/ ;
2) В Левобережном районе Воронежа полицейские задержали подозреваемого в совершении серии краж велосипедов:
https://36.мвд.рф/news/item/10236398/ ;
3) В отделе полиции №3 г. Воронежа умер арестованный за неуплату штрафа - февраль 2014:
http://m.moe-online.ru/news/view/282448.html ;",ОП №3.jpg,,отчёт о работе за 2016 год не опубликован,,,police_station.png
Северный,4 отдел полиции,УМВД России по городу Воронежу,4,"394088, Воронеж, ул. Хользунова 123а",(473) 221-26-31,,,Подполковник полиции,Корчагин Владимир Анатольевич,(473) 269 - 65-24,пн (по записи),21.06.2017,https://36.мвд.рф/folder/355618,(473) 251-12-50,"1) В Воронеже полицейскими задержан подозреваемый в совершении убийства:
https://36.мвд.рф/news/item/10271469/ ;
2) Сотрудники ОП №4 УМВД России по г. Воронежу задержали подозреваемого в совершении мошенничества:
https://36.мвд.рф/news/item/10263955/ ;",ОП №4.jpg,,отчёт о работе за 2016 год не опубликован,,,police_station.png
Советский,5 отдел полиции,УМВД России по городу Воронежу,5,"394051, Воронеж, ул. Маршака, 6А",(473) 269-68-51,(473) 278-62-78,,Полковник полиции,Желтоухов Сергей Викторович,,круглосуточно,21.06.2017,https://36.мвд.рф/folder/355618,(473) 251-12-50,"1) Полицейскими в Воронеже задержан подозреваемый в умышленном причинении тяжкого вреда здоровью местному жителю:
https://36.мвд.рф/news/item/10280457/ ;
2) В Советском районе г. Воронежа задержаны подозреваемые в совершении угона автомобиля:
https://36.мвд.рф/news/item/10247630/ ;
3) Полицейскими ОП №5 раскрыто открытое хищение имущества у местной жительницы:
https://36.мвд.рф/news/item/10235196/ ;",NO_PHOTO.jpg,,отчёт о работе за 2016 год не опубликован,,,police_station.png
Центральный,6 отдел полиции,УМВД России по городу Воронежу,6,"394000, Воронеж, ул. Чайковского д.3",(473) 269-69-00,(473) 251-16-02,(473) 252-36-00,Полковник полиции,Рожков Сергей Иванович,,круглосуточно,21.06.2017,https://36.мвд.рф/folder/355618,(473) 251-12-50,"1) Сотрудники ОП №6 раскрыли квартирную кражу - май 2017:
https://36.мвд.рф/news/item/10274294/ ;
2) Полицейские из Центрального района г. Воронежа задержали подозреваемого в совершении хищений - май 2017:
https://36.мвд.рф/news/item/10267506/ ;
3) Воронежец умер в отделе полиции до приезда «скорой помощи» - июль 2015:
https://novostivoronezha.ru/2015/07/22/28298 ;",ОП №6.jpg,,отчёт о работе за 2016 год не опубликован,,,police_station.png
Южный,7 отдел полиции,УМВД России по городу Воронежу,7,"394008, Воронеж, ул. Волго-Донская, 20",(473) 268-72-55,(473) 268-57-98,(473) 268-72-43,Полковник полиции,Рожков Сергей Иванович,,чт 14:00 - 18:00,21.06.2017,https://36.мвд.рф/folder/355618,(473) 251-12-50,"1) Полицейские задержали подозреваемого в ограблении местного жителя:
https://36.мвд.рф/news/item/10280919/ ;
2) Сотрудники ОП №7 УМВД России по г.Воронежу задержали подозреваемую в умышленном причинении тяжкого вреда здоровью местному жителю:
https://36.мвд.рф/news/item/10257284/ ;
3) СК: мигрант умер в отделе полиции Воронежа, подавившись лавашом - январь 2014:
https://ria.ru/incidents/20140121/990438688.html ;",NO_PHOTO.jpg,,отчёт о работе за 2016 год не опубликован,,,police_station.png
Полиция на транспорте,Дежурная часть Юго-Восточного линейного управления МВД России на транспорте,Юго-Восточное линейное управление МВД России на транспорте,ДТВ,"394026, Воронеж, ул. Свердлова, д. 5д",(473) 265-68-74,,,"Начальник дежурной части Юго-Восточного ЛУ МВД России на транспорте,
полковник полиции",Некрасов Леонид Владимирович,(473) 265-47-63,пн 10:00 - 13:00,21.06.2017,https://цфоут.мвд.рф/request_main,(499) 266-94-05,"1) Под колёсами поезда погиб 26-летний мужчина - октябрь 2017: http://свик-тв.рф/v-voronezhe-pod-kolyosami-poezda-pogib-26-letnij-muzhchina-foto ;
2) Задержан мужчина, имевший при себе собственноручно собранную марихуану для личного употребления - август 2015: https://цфоут.мвд.рф/news/item/6398348/ ;",NO_PHOTO.jpg,,"отчёт о работе за 2016 год не опубликован;

непосредственно обслуживает ж/д вокзал Воронеж-1
",,,train_police.png
Полиция на транспорте,Линейный пункт полиции на ж/д станции Воронеж-Курский,Юго-Восточное линейное управление МВД России на транспорте,ЛП1,ж/д станция Воронеж-Курский,,,,,,,,,https://цфоут.мвд.рф/request_main,(499) 266-94-05,"1) Задержан мужчина, имевший при себе героин - апрель 2016: https://cfout.mvd.ru/news/item/7570508/ ;",NO_PHOTO.jpg,,отчёт о работе за 2016 год не опубликован,,,train_police.png
